metric,value
n,250
clean_correct,125
clean_accuracy,0.5
direct_swap_correct,117
direct_swap_accuracy,0.468
identity_correct,125
identity_accuracy,0.5
accuracy_delta,-0.032
answer_changed,151
parsed_answer_change_rate,0.604
stable_correct,86
S_broken,39
S_repaired,31
stable_wrong,94
stable_wrong_same,13
stable_wrong_different,81
stable_wrong_different_rate,0.8617021276595744
stable_wrong_different_rate_over_all,0.324
stable_wrong_parse_failure_count,0
clean_parse_failure_count,0
direct_swap_parse_failure_count,0
